
X        Y        RA               DEC              I             DI            Q             DQ            U             DU            P             DP            ANG           DANG          PI            DPI           AST           ID           
7.5      -36.5    17:45:39.122     -29:01:35.49     827.915       3.47494       -4.20012      0.640824      4.10427       1.14964       0.70931       0.111768      67.8306       4.56763       5.87249       0.925015      1             44           
8.5      -36.5    17:45:38.204     -29:01:35.49     1333.38       2.77902       -6.15337      1.14793       4.0905        0.86261       0.554148      0.0801513     73.1929       3.71862       7.38892       1.06861       1             45           
9.5      -36.5    17:45:37.299     -29:01:35.49     1323.04       1.67777       -6.64341      0.676895      4.2923        0.789823      0.59782       0.0538219     73.5668       2.74662       7.9094        0.712016      1             46           
10.5     -36.5    17:45:36.381     -29:01:35.48     1140.53       3.05614       -8.40618      0.649305      -0.674659     0.87406       0.739409      0.057112      -87.7057      2.96495       8.43321       0.65099       1             47           
11.5     -36.5    17:45:35.463     -29:01:35.48     1178.79       1.47929       -7.48022      1.00299       -3.66843      0.694617      0.706768      0.0806849     -76.9379      2.62773       8.33132       0.951049      1             48           
12.5     -36.5    17:45:34.551     -29:01:35.48     860.464       1.45602       -6.75161      0.841882      -8.97737      0.750262      1.30544       0.0912098     -63.4728      2.06574       11.2329       0.784597      1             49           
13.5     -36.5    17:45:33.633     -29:01:35.47     521.742       1.4869        -1.40605      0.802914      -7.27289      0.801468      1.41977       0.153677      -50.4709      3.10498       7.40755       0.80152       1             50           
14.5     -36.5    17:45:32.716     -29:01:35.47     241.915       1.05297       1.29923       0.91524       -5.2315       0.900717      2.22823       0.372805      -38.0265      4.85968       5.39042       0.901567      1             51           
-1.5     -35.5    17:45:47.357     -29:01:23.50     784.426       1.89644       -9.84808      0.996669      16.3353       1.02765       2.43162       0.130098      60.5422       1.50945       19.0743       1.01948       1             52           
-0.5     -35.5    17:45:46.446     -29:01:23.50     898.65        3.07628       -10.8824      0.650428      13.5688       1.01169       1.93553       0.0990323     64.3651       1.33613       17.3937       0.887959      1             53           
0.5      -35.5    17:45:45.528     -29:01:23.50     1041.13       4.39576       -6.62436      0.93781       8.87601       0.945248      1.0638        0.0906474     63.3674       2.43265       11.0755       0.942594      1             54           
1.5      -35.5    17:45:44.610     -29:01:23.50     748.202       2.25702       5.99438       0.719289      10.6137       0.751619      1.62917       0.0995503     30.2717       1.70916       12.1895       0.743929      1             55           
2.5      -35.5    17:45:43.698     -29:01:23.50     714.861       2.62562       14.5757       0.624702      8.05948       0.725996      2.3299        0.0913059     14.47         1.21018       16.6555       0.649838      1             56           
